"sample_name","gene_name","value"
"Calb2_tdTpositive_cell_1","X0610005C13Rik",0
"Calb2_tdTpositive_cell_2","X0610005C13Rik",0
"Calb2_tdTpositive_cell_3","X0610005C13Rik",0
"Calb2_tdTpositive_cell_4","X0610005C13Rik",0
"Calb2_tdTpositive_cell_5","X0610005C13Rik",0
"Calb2_tdTpositive_cell_6","X0610005C13Rik",0
"Calb2_tdTpositive_cell_7","X0610005C13Rik",0
"Calb2_tdTpositive_cell_8","X0610005C13Rik",0
"Calb2_tdTpositive_cell_9","X0610005C13Rik",0
"Calb2_tdTpositive_cell_10","X0610005C13Rik",0
"Calb2_tdTpositive_cell_11","X0610005C13Rik",0
"Calb2_tdTpositive_cell_12","X0610005C13Rik",0
"Calb2_tdTpositive_cell_13","X0610005C13Rik",0
"Calb2_tdTpositive_cell_14","X0610005C13Rik",0
"Calb2_tdTpositive_cell_15","X0610005C13Rik",0
"Calb2_tdTpositive_cell_16","X0610005C13Rik",0
"Calb2_tdTpositive_cell_17","X0610005C13Rik",0
"Calb2_tdTpositive_cell_18","X0610005C13Rik",0
"Calb2_tdTpositive_cell_19","X0610005C13Rik",0
"Calb2_tdTpositive_cell_20","X0610005C13Rik",0
"Calb2_tdTpositive_cell_21","X0610005C13Rik",0
"Calb2_tdTpositive_cell_22","X0610005C13Rik",0
"Calb2_tdTpositive_cell_23","X0610005C13Rik",0
"Calb2_tdTpositive_cell_24","X0610005C13Rik",0
"Calb2_tdTpositive_cell_25","X0610005C13Rik",0
"Calb2_tdTpositive_cell_26","X0610005C13Rik",0
"Calb2_tdTpositive_cell_27","X0610005C13Rik",0
"Calb2_tdTpositive_cell_28","X0610005C13Rik",0
"Calb2_tdTpositive_cell_29","X0610005C13Rik",0
"Calb2_tdTpositive_cell_30","X0610005C13Rik",0
"Calb2_tdTpositive_cell_31","X0610005C13Rik",0
"Calb2_tdTpositive_cell_32","X0610005C13Rik",0
"Calb2_tdTpositive_cell_33","X0610005C13Rik",9
"Calb2_tdTpositive_cell_34","X0610005C13Rik",0
"Calb2_tdTpositive_cell_35","X0610005C13Rik",0
"Calb2_tdTpositive_cell_36","X0610005C13Rik",0
"Calb2_tdTpositive_cell_37","X0610005C13Rik",0
"Calb2_tdTpositive_cell_38","X0610005C13Rik",0
"Calb2_tdTpositive_cell_39","X0610005C13Rik",0
"Calb2_tdTpositive_cell_40","X0610005C13Rik",0
"Calb2_tdTpositive_cell_41","X0610005C13Rik",0
"Calb2_tdTpositive_cell_42","X0610005C13Rik",0
"Calb2_tdTpositive_cell_43","X0610005C13Rik",0
"Calb2_tdTpositive_cell_44","X0610005C13Rik",0
"Calb2_tdTpositive_cell_45","X0610005C13Rik",0
"Calb2_tdTpositive_cell_46","X0610005C13Rik",0
"Calb2_tdTpositive_cell_47","X0610005C13Rik",0
"Calb2_tdTpositive_cell_48","X0610005C13Rik",0
"Calb2_tdTpositive_cell_49","X0610005C13Rik",0
"Calb2_tdTpositive_cell_50","X0610005C13Rik",0
"Calb2_tdTpositive_cell_51","X0610005C13Rik",0
"Calb2_tdTpositive_cell_52","X0610005C13Rik",0
"Calb2_tdTpositive_cell_53","X0610005C13Rik",0
"Calb2_tdTpositive_cell_54","X0610005C13Rik",0
"Calb2_tdTpositive_cell_55","X0610005C13Rik",0
"Calb2_tdTpositive_cell_56","X0610005C13Rik",0
"Calb2_tdTpositive_cell_57","X0610005C13Rik",0
"Calb2_tdTpositive_cell_58","X0610005C13Rik",0
"Calb2_tdTpositive_cell_59","X0610005C13Rik",0
"Calb2_tdTpositive_cell_60","X0610005C13Rik",0
"Calb2_tdTpositive_cell_61","X0610005C13Rik",0
"Calb2_tdTpositive_cell_62","X0610005C13Rik",0
"Calb2_tdTpositive_cell_63","X0610005C13Rik",0
"Calb2_tdTpositive_cell_64","X0610005C13Rik",0
"Chat_tdTpositive_cell_1","X0610005C13Rik",0
"Chat_tdTpositive_cell_2","X0610005C13Rik",0
"Chat_tdTpositive_cell_3","X0610005C13Rik",0
"Chat_tdTpositive_cell_4","X0610005C13Rik",0
"Chat_tdTpositive_cell_5","X0610005C13Rik",0
"Chat_tdTpositive_cell_6","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_1","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_2","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_3","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_4","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_5","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_6","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_7","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_8","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_9","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_10","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_11","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_12","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_13","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_14","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_15","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_16","X0610005C13Rik",0.97
"Chrna2_tdTpositive_cell_17","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_18","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_19","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_20","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_21","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_22","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_23","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_24","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_25","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_26","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_27","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_28","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_29","X0610005C13Rik",0
"Chrna2_tdTpositive_cell_30","X0610005C13Rik",0
"Calb2_tdTpositive_cell_1","X0610007C21Rik",992
"Calb2_tdTpositive_cell_2","X0610007C21Rik",2287.02
"Calb2_tdTpositive_cell_3","X0610007C21Rik",491.78
"Calb2_tdTpositive_cell_4","X0610007C21Rik",1932
"Calb2_tdTpositive_cell_5","X0610007C21Rik",1425
"Calb2_tdTpositive_cell_6","X0610007C21Rik",130.03
"Calb2_tdTpositive_cell_7","X0610007C21Rik",2110.02
"Calb2_tdTpositive_cell_8","X0610007C21Rik",955
"Calb2_tdTpositive_cell_9","X0610007C21Rik",326
"Calb2_tdTpositive_cell_10","X0610007C21Rik",933
"Calb2_tdTpositive_cell_11","X0610007C21Rik",296
"Calb2_tdTpositive_cell_12","X0610007C21Rik",31
"Calb2_tdTpositive_cell_13","X0610007C21Rik",970.35
"Calb2_tdTpositive_cell_14","X0610007C21Rik",594
"Calb2_tdTpositive_cell_15","X0610007C21Rik",2290.1
"Calb2_tdTpositive_cell_16","X0610007C21Rik",29
"Calb2_tdTpositive_cell_17","X0610007C21Rik",373
"Calb2_tdTpositive_cell_18","X0610007C21Rik",462
"Calb2_tdTpositive_cell_19","X0610007C21Rik",516
